number	audit	status	name	source	line
70	AUE_NULL	STD	linux_pwritev	sys/arm64/linux/syscalls.master	444
71	AUE_SENDFILE	STD	linux_sendfile	sys/arm64/linux/syscalls.master	453
72	AUE_SELECT	STD	linux_pselect6	sys/arm64/linux/syscalls.master	461
73	AUE_POLL	STD	linux_ppoll	sys/arm64/linux/syscalls.master	471
74	AUE_NULL	STD	linux_signalfd4	sys/arm64/linux/syscalls.master	480
75	AUE_NULL	STD	linux_vmsplice	sys/arm64/linux/syscalls.master	483
76	AUE_NULL	STD	linux_splice	sys/arm64/linux/syscalls.master	486
77	AUE_NULL	STD	linux_tee	sys/arm64/linux/syscalls.master	496
78	AUE_READLINKAT	STD	linux_readlinkat	sys/arm64/linux/syscalls.master	499
79	AUE_FSTATAT	STD	linux_newfstatat	sys/arm64/linux/syscalls.master	507
80	AUE_FSTAT	STD	linux_newfstat	sys/arm64/linux/syscalls.master	515
81	AUE_NULL	UNIMPL	linux_sync	sys/arm64/linux/syscalls.master	521
82	AUE_FSYNC	NOPROTO	fsync	sys/arm64/linux/syscalls.master	522
83	AUE_NULL	STD	linux_fdatasync	sys/arm64/linux/syscalls.master	527
84	AUE_NULL	STD	linux_sync_file_range	sys/arm64/linux/syscalls.master	532
85	AUE_NULL	STD	linux_timerfd_create	sys/arm64/linux/syscalls.master	540
86	AUE_NULL	STD	linux_timerfd_settime	sys/arm64/linux/syscalls.master	546
87	AUE_NULL	STD	linux_timerfd_gettime	sys/arm64/linux/syscalls.master	554
88	AUE_FUTIMESAT	STD	linux_utimensat	sys/arm64/linux/syscalls.master	560
89	AUE_ACCT	NOPROTO	acct	sys/arm64/linux/syscalls.master	568
90	AUE_CAPGET	STD	linux_capget	sys/arm64/linux/syscalls.master	573
91	AUE_CAPSET	STD	linux_capset	sys/arm64/linux/syscalls.master	579
92	AUE_PERSONALITY	STD	linux_personality	sys/arm64/linux/syscalls.master	585
93	AUE_EXIT	STD	linux_exit	sys/arm64/linux/syscalls.master	590
94	AUE_EXIT	STD	linux_exit_group	sys/arm64/linux/syscalls.master	595
