domain	symbol	role	reuse	source	line
socket	linux_setsockopt	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2112
socket	linux_shutdown	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2105
socket	linux_socket	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	934
socket	linux_socketcall	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2962
socket	linux_socketpair	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1221
socket	linux_sockopt_copyout	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2315
socket	linux_to_bsd_cmsg_type	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	685
socket	linux_to_bsd_domain	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	236
socket	linux_to_bsd_icmp6_sockopt	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	629
socket	linux_to_bsd_ip6_sockopt	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	280
socket	linux_to_bsd_ip_sockopt	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	117
socket	linux_to_bsd_msg_flags	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	641
socket	linux_to_bsd_msghdr	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	756
socket	linux_to_bsd_so_sockopt	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	518
socket	linux_to_bsd_sockaddr	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	318
socket	linux_to_bsd_sockopt_level	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	98
socket	linux_to_bsd_tcp_sockopt	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	579
socket	linux_to_bsd_tcp_user_timeout	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	606
